AR_coef,season,LIFE_FORM,geometry,elevation,elev_units,long,lat
0.0232584599930273,fall,HARDWOOD,-123.350555419922|38.8049583435059,222.03,meters,-123.350555419922,38.8049583435059
-0.0993304231654509,fall,HARDWOOD,-123.345001220703|38.657039642334,336.1,meters,-123.345001220703,38.657039642334
0.0898063087777238,fall,HARDWOOD,-123.302429199219|38.7875366210937,445.6,meters,-123.302429199219,38.7875366210937
0.239465484062585,fall,HARDWOOD,-123.27734375|38.7510871887207,434.17,meters,-123.27734375,38.7510871887207
-0.0713707282258099,fall,HARDWOOD,-123.276672363281|38.7325935363769,528.96,meters,-123.276672363281,38.7325935363769
-0.192388852438848,fall,HARDWOOD,-123.276000976563|38.7141036987305,516.56,meters,-123.276000976563,38.7141036987305
0.0293507238126254,fall,HARDWOOD,-123.255645751953|38.8070907592773,517.64,meters,-123.255645751953,38.8070907592773
0.248863667569445,fall,HARDWOOD,-123.254974365234|38.7885856628418,589.11,meters,-123.254974365234,38.7885856628418
0.0646725148399783,fall,HARDWOOD,-123.254302978516|38.7701034545899,603.78,meters,-123.254302978516,38.7701034545899
0.213878935023002,fall,HARDWOOD,-123.252960205078|38.7331161499024,312.93,meters,-123.252960205078,38.7331161499024
0.13244902961012,fall,HARDWOOD,-123.250305175781|38.6591644287109,168.57,meters,-123.250305175781,38.6591644287109
0.0382119599586217,fall,HARDWOOD,-123.248321533203|38.6037063598632,238.64,meters,-123.248321533203,38.6037063598632
0.374686434920102,fall,HARDWOOD,-123.247650146484|38.585220336914,264.04,meters,-123.247650146484,38.585220336914
-0.0583064351187963,fall,HARDWOOD,-123.231903076172|38.8076095581055,409.2,meters,-123.231903076172,38.8076095581055
0.204823032169711,fall,HARDWOOD,-123.231246948242|38.7891082763672,383.84,meters,-123.231246948242,38.7891082763672
-0.0220160174481076,fall,HARDWOOD,-123.230590820313|38.7706146240234,631.94,meters,-123.230590820313,38.7706146240234
-0.0918941808332186,fall,HARDWOOD,-123.229919433594|38.7521286010742,407.45,meters,-123.229919433594,38.7521286010742
0.0717975799293271,fall,HARDWOOD,-123.229278564453|38.7336349487305,485.59,meters,-123.229278564453,38.7336349487305
0.386380215252943,fall,HARDWOOD,-123.228607177734|38.715145111084,228.28,meters,-123.228607177734,38.715145111084
0.0312597206636874,fall,HARDWOOD,-123.227294921875|38.6781616210937,326.95,meters,-123.227294921875,38.6781616210937
0.143257407896042,fall,HARDWOOD,-123.225982666016|38.6411933898925,201.83,meters,-123.225982666016,38.6411933898925
-0.194478549594409,fall,HARDWOOD,-123.225311279297|38.622703552246,434.93,meters,-123.225311279297,38.622703552246
0.171868610448858,fall,HARDWOOD,-123.222686767578|38.5487785339356,299.39,meters,-123.222686767578,38.5487785339356
0.0258196620777843,fall,HARDWOOD,-123.222030639648|38.5302925109864,358.05,meters,-123.222030639648,38.5302925109864
-0.0122557628005025,fall,HARDWOOD,-123.208190917969|38.8081130981445,386.79,meters,-123.208190917969,38.8081130981445
-0.0996286588168826,fall,HARDWOOD,-123.206878662109|38.7711334228516,589.79,meters,-123.206878662109,38.7711334228516
0.0628364790687129,fall,HARDWOOD,-123.206207275391|38.7526435852051,401.51,meters,-123.206207275391,38.7526435852051
0.335219037509202,fall,HARDWOOD,-123.20491027832|38.7156524658203,376.09,meters,-123.20491027832,38.7156524658203
0.0740858701387409,fall,HARDWOOD,-123.204254150391|38.6971626281739,361.64,meters,-123.204254150391,38.6971626281739
-0.0055174542687129,fall,HARDWOOD,-123.20361328125|38.6786842346192,147.55,meters,-123.20361328125,38.6786842346192
0.205518349918271,fall,HARDWOOD,-123.20295715332|38.6601943969727,257.66,meters,-123.20295715332,38.6601943969727
0.0166166539497132,fall,HARDWOOD,-123.202301025391|38.6417045593262,183.18,meters,-123.202301025391,38.6417045593262
0.368406917350935,fall,HARDWOOD,-123.181854248047|38.7346611022949,526.07,meters,-123.181854248047,38.7346611022949
0.231474050399042,fall,HARDWOOD,-123.181213378906|38.7161636352539,380.16,meters,-123.181213378906,38.7161636352539
-0.073884915554433,fall,HARDWOOD,-123.179931640625|38.6791915893555,350.75,meters,-123.179931640625,38.6791915893555
0.311004948273613,fall,HARDWOOD,-123.179275512695|38.6606979370117,210.02,meters,-123.179275512695,38.6606979370117
-0.130013909103059,fall,HARDWOOD,-123.178634643555|38.6422080993652,235.69,meters,-123.178634643555,38.6422080993652
-0.218906425288355,fall,HARDWOOD,-123.177993774414|38.6237297058105,200.56,meters,-123.177993774414,38.6237297058105
-0.0802489819337854,fall,HARDWOOD,-123.177337646484|38.6052322387695,314.8,meters,-123.177337646484,38.6052322387695
0.0774924718857481,fall,HARDWOOD,-123.175415039063|38.5497817993164,401.51,meters,-123.175415039063,38.5497817993164
0.121545607294557,fall,HARDWOOD,-123.174774169922|38.5313034057618,308.06,meters,-123.174774169922,38.5313034057618
-0.344416891397266,fall,HARDWOOD,-123.174133300781|38.512825012207,447.76,meters,-123.174133300781,38.512825012207
0.142986717454787,fall,HARDWOOD,-123.160064697266|38.7906341552734,256.35,meters,-123.160064697266,38.7906341552734
-0.0461041706698703,fall,HARDWOOD,-123.158798217773|38.7536430358886,369.37,meters,-123.158798217773,38.7536430358886
0.111056978248498,fall,HARDWOOD,-123.158157348633|38.7351608276367,572.51,meters,-123.158157348633,38.7351608276367
0.231479905972087,fall,HARDWOOD,-123.157516479492|38.7166709899902,534.61,meters,-123.157516479492,38.7166709899902
0.0838553002719158,fall,HARDWOOD,-123.156875610352|38.6981735229492,468.58,meters,-123.156875610352,38.6981735229492
0.0636305261812757,fall,HARDWOOD,-123.15625|38.6796836853028,530.17,meters,-123.15625,38.6796836853028
0.271505097211132,fall,HARDWOOD,-123.155609130859|38.6612052917481,339.75,meters,-123.155609130859,38.6612052917481
-0.103685134949995,fall,HARDWOOD,-123.154968261719|38.6427154541016,388.77,meters,-123.154968261719,38.6427154541016
-0.0684154800357381,fall,HARDWOOD,-123.153686523438|38.6057434082031,424.66,meters,-123.153686523438,38.6057434082031
0.0540640935188826,fall,HARDWOOD,-123.153045654297|38.5872535705567,277.97,meters,-123.153045654297,38.5872535705567
0.223117490309358,fall,HARDWOOD,-123.152420043945|38.5687713623047,307.86,meters,-123.152420043945,38.5687713623047
0.212050205537761,fall,HARDWOOD,-123.151794433594|38.550277709961,276.25,meters,-123.151794433594,38.550277709961
0.405767811508944,fall,HARDWOOD,-123.151153564453|38.5318031311035,254.04,meters,-123.151153564453,38.5318031311035
0.361459203957434,fall,HARDWOOD,-123.150512695313|38.513313293457,346.55,meters,-123.150512695313,38.513313293457
-0.103356201513252,fall,HARDWOOD,-123.135711669922|38.7726364135742,329.24,meters,-123.135711669922,38.7726364135742
-0.0646132004886941,fall,HARDWOOD,-123.133178710938|38.698673248291,568.33,meters,-123.133178710938,38.698673248291
0.183557320783801,fall,HARDWOOD,-123.131927490234|38.6616973876953,477.43,meters,-123.131927490234,38.6616973876953
0.255861641247817,fall,HARDWOOD,-123.126892089844|38.5138168334961,442.21,meters,-123.126892089844,38.5138168334961
0.0488363575363647,fall,HARDWOOD,-123.113876342773|38.8286094665527,367.22,meters,-123.113876342773,38.8286094665527
0.106823595585802,fall,HARDWOOD,-123.113250732422|38.8101081848144,406.64,meters,-123.113250732422,38.8101081848144
0.281819725000387,fall,HARDWOOD,-123.11262512207|38.7916145324707,343.99,meters,-123.11262512207,38.7916145324707
-0.13515133849411,fall,HARDWOOD,-123.111373901367|38.7546348571778,209.75,meters,-123.111373901367,38.7546348571778
0.256078221929974,fall,HARDWOOD,-123.110748291016|38.736141204834,283.74,meters,-123.110748291016,38.736141204834
0.229773068550923,fall,HARDWOOD,-123.110122680664|38.7176513671875,393.16,meters,-123.110122680664,38.7176513671875
-0.0343622885215663,fall,HARDWOOD,-123.108871459961|38.6806716918945,295.29,meters,-123.108871459961,38.6806716918945
0.0252276927322945,fall,HARDWOOD,-123.090133666992|38.8290863037109,281.91,meters,-123.090133666992,38.8290863037109
0.225287803055472,fall,HARDWOOD,-123.089508056641|38.810604095459,213.69,meters,-123.089508056641,38.810604095459
0.0774785045084547,fall,HARDWOOD,-123.088897705078|38.7921028137207,213.73,meters,-123.088897705078,38.7921028137207
0.385290730577497,fall,HARDWOOD,-123.088287353516|38.7736091613769,212.95,meters,-123.088287353516,38.7736091613769
0.0309061208566729,fall,HARDWOOD,-123.087661743164|38.7551155090332,255.69,meters,-123.087661743164,38.7551155090332
0.298737052024531,fall,HARDWOOD,-123.087036132813|38.736629486084,336.85,meters,-123.087036132813,38.736629486084
0.219957587233231,fall,HARDWOOD,-123.08642578125|38.7181358337403,208.66,meters,-123.08642578125,38.7181358337403
0.178470802774985,fall,HARDWOOD,-123.085815429688|38.699649810791,267.97,meters,-123.085815429688,38.699649810791
0.0385065228764324,fall,HARDWOOD,-123.085189819336|38.6811561584472,328.83,meters,-123.085189819336,38.6811561584472
-0.172910723582336,fall,HARDWOOD,-123.084564208984|38.6626739501954,280.72,meters,-123.084564208984,38.6626739501954
-0.139381210025971,fall,HARDWOOD,-123.083953857422|38.6441764831543,558.27,meters,-123.083953857422,38.6441764831543
-0.0424681854836095,fall,HARDWOOD,-123.082733154297|38.6072044372558,341.41,meters,-123.082733154297,38.6072044372558
0.0821654910484087,fall,HARDWOOD,-123.082107543945|38.5887184143066,277.57,meters,-123.082107543945,38.5887184143066
0.0890002593363584,fall,HARDWOOD,-123.081481933594|38.5702362060547,245.05,meters,-123.081481933594,38.5702362060547
0.311275290379543,fall,HARDWOOD,-123.077819824219|38.4593391418458,239.14,meters,-123.077819824219,38.4593391418458
0.1134128871065,fall,HARDWOOD,-123.066390991211|38.8295745849609,469.57,meters,-123.066390991211,38.8295745849609
0.280408191167053,fall,HARDWOOD,-123.062103271484|38.7001266479492,290.38,meters,-123.062103271484,38.7001266479492
-0.140410604588553,fall,HARDWOOD,-123.060882568359|38.6631507873535,243.61,meters,-123.060882568359,38.6631507873535
-0.0489141115456789,fall,HARDWOOD,-123.060287475586|38.644660949707,364.35,meters,-123.060287475586,38.644660949707
0.0627113476309569,fall,HARDWOOD,-123.059677124023|38.6261749267578,503.76,meters,-123.059677124023,38.6261749267578
-0.0103413396760116,fall,HARDWOOD,-123.059066772461|38.6076812744141,284.08,meters,-123.059066772461,38.6076812744141
-0.0572388989680011,fall,HARDWOOD,-123.057250976563|38.5522232055664,106.58,meters,-123.057250976563,38.5522232055664
0.204321292901904,fall,HARDWOOD,-123.039031982422|38.7190895080567,196.69,meters,-123.039031982422,38.7190895080567
